review_id,platform,rating,review_text,date,source
GP-0001,Google Play,4,The application interface is very intuitive and great. Try increasing font size though. Also can you please make it easier to switch between two demat accounts without having to logout and then entering credentials manually each time if email account is other than gmail ?,2026-08-07,Google Play Store
GP-0002,Google Play,5,"Excellent tool. To add, for a first time investor in the stock market this tool is very simple to understand, gives a lot of metrics to make decisions as well as post purchase real time tracking is definitely well designed. Hope to see an expansion to purchasing more into the international market, and not having to sign up for other tools outside GROWW. this should be a one stop shop for all markets.",2026-08-05,Google Play Store
GP-0003,Google Play,3,"Feature Request: Spot-based trigger for option trading. I trade NIFTY options based on spot levels. During fast market moves, option prices change quickly and I miss entries. Please add a feature where orders are triggered using NIFTY spot price and automatically execute in selected option contracts (CE/PE). Also allow stop loss and target based on spot price instead of option price. This will improve execution and trading accuracy. Will give 5 star then thanks.",2026-07-14,Google Play Store
GP-0004,Google Play,1,"The stop-loss gets triggered unpredictably. Sometimes it hits even before the price reaches the stop-loss level, and other times it triggers only after the price has moved well beyond the stop-loss. In both cases, traders end up facing unnecessary losses. This is a very poor application. I would request everyone not to use it.",2026-08-07,Google Play Store
GP-0005,Google Play,4,"all things are good, it's been 2 years I am using this groww app, I've been investing, trading, there is no glitch or mistake about the transferring the money, but there is one thing, there will be a option in which we can make the wishlist of the stocks, but it has a limit of 10 wishlists, better lift that limit. it's a suggestion from my side",2026-06-09,Google Play Store
GP-0006,Google Play,3,💖,2026-08-04,Google Play Store
GP-0007,Google Play,4,I guess it's one of the best app for treading. Very easy to handle as a first time user in stock market. Everything is very easy to understand and segmented on different portions. One problem is I can't increase Sip money instantly. It has to be wait for 6 months to 1 year. That's a problematic part i guess.,2026-08-03,Google Play Store
GP-0008,Google Play,1,"this is the worst application for traders. I had some shares to sell. It didn't let me that happen when the price was in my target level. so i immediately called the customer care and there was also no response then after sometime I checked my entire holding was not showing due to server issue, when the price crashed after that it was showing and allowing me to sell out my stocks. for investment purpose it is fine but it is not definitely for traders because the server is too slow.",2026-07-16,Google Play Store
GP-0009,Google Play,1,"The app is super buggy at times, with painstakingly slow loading times for the market data, and this sometimes happen during the peak trading hours. When you reach out to support they keep saying same thing, that this is internet issue on your end, and that is despite the fact that I am in a 5G connectivity area,also having a high speed broadband connection at home, with every other site and app loading properly.",2026-07-21,Google Play Store
GP-0010,Google Play,1,"My experience with the customer support (call centre) was highly disappointing. I was advised to wait for two banking working days for the funds to be reflected in my Groww account. As instructed, I uploaded proof showing that the amount had been debited from my bank account. Despite this, the customer support team informed me that they were unable to trace the transaction or locate the funds in Groww's account. This situation was extremely frustrating and, at one point, I seriously considered t",2026-08-03,Google Play Store
GP-0011,Google Play,1,"this app has the worst customer service. infact zero service and support. the call never connects. they keep you on hold for more than 10 mins and never connect. what kind of service is this? in today's era when customers are used to exceptional service, this kind of pathetic service will pull down any company. high time to switch to some other app",2026-08-01,Google Play Store
GP-0012,Google Play,1,Groww means Glitch. i lost money because of there glitch i placed order to sell but at the same the app hanged the order didn't not placed after one minute when it started working i sold in loss. so even if it has many good features but in case of smooth work it deserve only 1 star. and many time it executed order at high as compare to showing on screen. so avoid this app for fast order execution.,2026-07-21,Google Play Store
GP-0013,Google Play,1,Earlier it was good because it has some smart features that I liked that were growth % of the stocks from which date you have added in your watchlist. but all the features have been removed. And groww app appearance size is not fitting in my mobile and I can't see the full details.,2026-07-20,Google Play Store
GP-0014,Google Play,1,"I reported several issues on this app and all I heard back from the customer support was to update/re-install the app. It did not solve anything and I also had to redo all the indicators and settings which I had already set up. Also, all other broker apps are incorporating better features for more convenient trading and charge only Rs.10/order. But this app is getting worse and still charges Rs.20/order. So I'm actively planning on switching to a different broker app.",2026-08-04,Google Play Store
GP-0015,Google Play,1,"The Groww app lacks easy interface features for those bidding for OFS shares. There is no way you can find out your allotment status. The FAQs are useless. snapThough there are other good features, this is a major drawback. The order history and chatbot are also clueless in this regard, though customer care confirm successful OFS bidding. Complete waste of time.",2026-08-06,Google Play Store
